名称,学名,特点,作用

狗,Canis lupus familiaris,忠诚、聪明、社交性强,看家护院、导盲、搜救、警务、情感陪伴  
猫,Felis catus,独立、高冷、善于捕鼠,消灭害鼠、陪伴、缓解压力  
牛,Bos taurus,体型庞大、性情温顺、力气大,农耕劳作、提供牛奶和牛肉  
马,Equus caballus,奔跑速度快、耐力好、通人性,骑乘代步、运输货物、竞技比赛  
鸡,Gallus gallus domesticus,早起打鸣、杂食性、繁殖能力强,提供鸡蛋和鸡肉、除虫  
鸭,Anas platyrhynchos domesticus,喜水、耐寒、生长快,提供鸭蛋和鸭肉、除草除虫  
鹅,Anser anser domesticus,警觉性高、攻击性强、食草为主,看家护院、提供鹅肉和鹅蛋  
羊,Ovis aries,群居性强、温顺胆小、食草,提供羊毛、羊肉和羊奶  
兔,Oryctolagus cuniculus domesticus,繁殖快、胆小谨慎、食草,提供兔肉和兔毛、作为宠物陪伴  
鸽子,Columba livia domestica,识途能力强、飞行速度快,通信传信、食用、观赏  
蜜蜂,Apis mellifera,群居生活、勤劳、具有社会性,酿造蜂蜜、传播花粉  
蚕,Bombyx mori,以桑叶为食、吐丝结茧,生产蚕丝、做些东西
